date,company,code,P/N,title,news,nextclose,lastclose,timeseriesforecast,timeserieslower,timeseriesupper,groundtruth01,timeseries01,nbpred
2016-03-22,张家界,430,1,张家界定增募资12亿打造文化旅游项目,"中国证券网讯 3月21日晚间发布定增预案，公司拟以不低于10.39元/股向包括公司控股股东经投集团在内不超过10名特定对象发行非公开发行股票数量不超过115,495,668 股，募集资金总额不超过12亿元，其中公司控股股东经投集团认购金额不低于1亿元，募资全部投向大庸（南门口特色街区）项目。公司股票将于3月22日上午开市起复牌。据披露，大庸古城项目位于位于市城区南门口片区，规划范围是澧水河以北（含澧水河）、滨河路以南，逸臣酒店至观音大桥段。大庸古城项目以建设张家界市国际风景城市为目标，将南门口片区建设成为融合文化遗产、民俗风情和创意时尚都市生活的城市传统风貌展示区与特色旅游服务区。项目通过奇门遁甲、古城穿越、南门大码头、三元宫等引擎项目，打造集“吃、住、游、购、娱”于一体的旅游综合休闲区，构建张家界中心城区的城市文化休闲新地标。项目总投资额为 188,278.00 万元，募集资金分 24 个月投入，主要投资包括土地使用权购置费 83,733.00 万元，土建投资 61,845.13 万元，相关软硬件设备的购置及装修 32,700.00 万元，预备费 5,348.34 万元及铺底流动资金4,651.53 万元。项目建成后，将满足游客对文化休闲类旅游产品的需求，预计将实现年营业收入 48,542.21 万元，净利润18,450.13 万元。值得关注的是，大庸古城（南门口特色街区）项目总投资188,278.00万元，募资不足部分将通过自有资金、银行贷款等方式筹集。公司拟通过摘牌方式取得本次募投项目的项目用地使用权证。截至目前，公司尚未取得该募投项目的项目用地土地使用权，公司能否取得该土地使用权以及取得的成本存在不确定，若未成功取得该项土地使用权，本项目及本次非公开发行均将终止实施。公司控股股东经投集团认购股份锁定期为36个月，其他特定投资者锁定期为12个月；上述预案所述生效和完成尚需湖南省国资委批准、公司股东大会审议通过和中国证监会核准。本次非公开发行完成后，经投集团仍为公司的控股股东，张家界市国资委仍为公司的实际控制人。公司表示，借助发展大庸古城（南门口特色街区）项目的良好机会，帮助公司拓宽文化旅游产品和创造新的利润增长点，进一步拓展公司主营业务的发展空间，从而有助于增强上市公司的盈利能力，维护公司与全体股东的利益。（刘涛）",12.6606,12.145,12.052505193263006,11.453358751944572,12.651651634581436,1.0,0.0,1.0
2016-03-22,得润电子,2055,1,得润电子：牵手爱车汇布局汽车金融,中证网讯 （002055 ）3月21日晚间公告，公司与爱汇（北京）科技有限责任公司于2016年3月21日签订《合作框架协议》，双方同意将对方视为长期战略合作伙伴，协同开发包括车联网、大数据、、保险服务、后市场服务等领域，充分发挥双方优势，共同进行市场层面合作（包括但不限于资本、项目、技术、市场、研发等方面），并推动双方优势资源的互补整合与资源共享，共同提高双方综合实力和市场影响力。爱车汇旗下平台PP租车是亚洲领先的P2P在线租车平台，平台拥有超过60万车主，100万用户。PP租车是一个基于互联网技术的便捷的汽车共享平台，为车主提供通过出租车辆带来的收益让车辆的闲置时间变成现金的服务。同时，PP租车为有租车需求的用户提供便捷、低价的就近租车服务。爱车汇与公司不存在关联关系，最近三年与公司未发生交易。3月2日公司发布公告称非公开发行股票申请获得中国证监会核准。公司本次非公开发行不超过8746.22万股新股，拟募集资金总额不超过289150万元，将用于FPC产能扩建、USB Type-C连接器建设、车联网平台建设、新能源及智能汽车硬件建设、研发中心建设等项目及偿还银行贷款。2015年8月，公司完成Meta System S.p.A.60%股权收购，拓展车联网和新能源汽车业务。安信证券的分析师指出，中国汽车电子市场将进入快速发展期，同时政府对新能源汽车采取购车补贴、免费车牌、及不受约束等方式予以鼓励，未来新能源智能汽车发展潜力无限。收购Meta以后，公司对新能源及智能汽车硬件布局将愈发全面化，产品线将进一步丰富。 此次通过战略合作，在大数据、汽车、保险服务等领域进一步完善布局。,31.0663,31.6804,30.813177892525157,28.670323141873897,32.95603264317641,0.0,0.0,1.0
2016-03-22,兆日科技,300333,0,兆日科技：控股股东完成940万股减持计划,兆日科技：控股股东完成940万股减持计划,25.6875,26.4694,26.31703355258594,24.275646551132425,28.35842055403945,0.0,0.0,0.0
2016-03-22,西水股份,600291,1,西水股份：拟与三家公司设立三家合伙企业认购天安财险26.63亿股增发股,西水股份：拟与三家公司设立三家合伙企业认购天安财险26.63亿股增发股,26.9508,25.1309,,,,1.0,,1.0
2016-03-23,汇金股份,300368,1,汇金股份：去年净利同比增18% 拟10转10派0.4元,汇金股份：去年净利同比增18% 拟10转10派0.4元,20.5389,18.6731,19.114642942728686,17.395931567720226,20.833354317737147,1.0,1.0,0.0
2016-03-23,赣锋锂业,2460,0,赣锋锂业：子公司美拜电子仓库发生火灾损失2000万元23日复牌,赣锋锂业：子公司美拜电子仓库发生火灾损失2000万元23日复牌,14.7991,15.2418,15.796556417603785,14.708416378924985,16.884696456282587,0.0,1.0,1.0
2016-03-23,赣锋锂业,2460,0,赣锋锂业子公司仓库起火预计损失2000万元,中证网讯 （002460）3月22日晚间发布公告，2016 年 3 月22 日凌晨，公司的全资子公司深圳美拜电子有限公司（简称“美拜电子”）仓库发生意外起火。为维护广大投资者利益，避免引起公司股票波动，经公司申请股票（证券简称：赣锋锂业，证券代码：002460）自2016 年 3 月22 日开市起临时停牌。该事故未造成人员伤亡，初步预计损失金额2000 万左右，关于本次失火原因和造成的具体财产损失，公司将在进一步核实后进行披露。美拜电子位于该厂区的主要生产设备未受到火灾影响，不影响现有产能。火灾事故发生后，公司及时启动应急预案，成立现场应急领导小组，核查事故原因及相关复产措施，争取尽快恢复生产。经申请，公司股票（股票简称：赣锋锂业，股票代码： 002460 ）将于2016 年3 月23 日开市起复牌。,14.7991,15.2418,15.796556417603785,14.708416378924985,16.884696456282587,0.0,1.0,1.0
2016-03-23,游族网络,2174,1,游族网络：子公司出资8000万欧元收购德国游戏公司BP 100%股权,游族网络：子公司出资8000万欧元收购德国游戏公司BP 100%股权,34.3712,32.0344,32.041120451446716,29.154553088589786,34.92768781430364,1.0,1.0,0.0
2016-03-23,黄河旋风,600172,0,黄河旋风：遭上银基金财富27号资产管理计划减持2100万股,黄河旋风：遭上银基金财富27号资产管理计划减持2100万股,8.9757,8.9426,9.011863190727047,8.376071518248175,9.647654863205915,1.0,1.0,0.0
2016-03-23,广电运通,2152,1,广电运通：购入神州数码(0861.HK)5.5%股份,广电运通：购入神州数码(0861.HK)5.5%股份,9.6244,9.2407,9.22519516331849,8.709174005933159,9.74121632070382,1.0,0.0,1.0
